X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-123.262497,44.590015,0,0,153,68.7999999,2020/09/27 18:34:04+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590061,0,0,154,68.7999999,2020/09/27 18:34:05+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.5901179,0,0,155,68.7999999,2020/09/27 18:34:06+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590172,0,0,156,68.7999999,2020/09/27 18:34:07+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590221,0,0,157,68.7999999,2020/09/27 18:34:08+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590275,0,0,158,68.7999999,2020/09/27 18:34:09+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590324,0,0,159,68.7999999,2020/09/27 18:34:10+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590378,0,0,160,68.7999999,2020/09/27 18:34:11+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.590427,0,0,161,68.7999999,2020/09/27 18:34:12+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.5904809,0,0,162,68.7999999,2020/09/27 18:34:13+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590534,0,0,163,68.7999999,2020/09/27 18:34:14+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.5905879,0,0,164,69,2020/09/27 18:34:15+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.590645,0,0,165,69,2020/09/27 18:34:16+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.590702,0,0,166,69,2020/09/27 18:34:17+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.590755,0,0,167,69,2020/09/27 18:34:18+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.590809,0,0,168,69,2020/09/27 18:34:19+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.590862,0,0,169,69,2020/09/27 18:34:20+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590916,0,0,170,69,2020/09/27 18:34:21+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.590965,0,0,171,69,2020/09/27 18:34:22+00,,,,,,,,,,,,,,,,,,,,,
-123.262505,44.591015,0,0,172,69,2020/09/27 18:34:23+00,,,,,,,,,,,,,,,,,,,,,
-123.262505,44.591061,0,0,173,69,2020/09/27 18:34:24+00,,,,,,,,,,,,,,,,,,,,,
-123.262505,44.591106,0,0,174,69,2020/09/27 18:34:25+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.591152,0,0,175,69,2020/09/27 18:34:26+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.591198,0,0,176,69,2020/09/27 18:34:27+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.591251,0,0,177,69,2020/09/27 18:34:28+00,,,,,,,,,,,,,,,,,,,,,
